brokertitle,type,price,beds,bath,propertysqft,formatted_address,latitude,longitude,log_price,price_segment,eda_type_clean,log_beds,beds_sqrt,beds_asinh,beds_binned,log_bath,bath_binned,area_missing,log_area,zip,borough,borough_Manhattan,borough_Brooklyn,borough_Queens,price_per_sqft,log_pps
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,315000,2,2,1400.0,"Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",40.761255,-73.9744834,12.66032791780777,entry,Condo for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,0,7.244941546337007,10022,Manhattan,True,False,False,225.0,5.420534999272286
Brokered by Sowae Corp,House for sale,260000,4,2,2015.0,"620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086,12.468436909997665,entry,House for sale,1.6094379124341003,2.0,2.0947125472611012,4,1.0986122886681098,2,0,7.60887062919126,10312,Staten Island,False,False,False,129.03225806451613,4.86778255863202
Brokered by COMPASS,Condo for sale,69000,3,1,445.0,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128,11.141861783579396,entry,Condo for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,0.6931471805599453,1,0,6.100318952020064,10022,Manhattan,True,False,False,155.0561797752809,5.050216069184079
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,55000000,7,2,14175.0,"5 E 64th St, New York, NY 10065, USA",40.7672235,-73.9698561,17.822843743196746,luxury,Townhouse for sale,2.0794415416798357,2.6457513110645907,2.644120761058629,7-10,1.0986122886681098,2,0,9.559305672844863,10065,Manhattan,True,False,False,3880.0705467372136,8.263866308667552
Brokered by Sowae Corp,House for sale,690000,5,2,4004.0,"584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248,13.444446876573442,entry,House for sale,1.791759469228055,2.23606797749979,2.312438341272753,5,1.0986122886681098,2,0,8.29529885950246,11238,Brooklyn,False,True,False,172.32767232767233,5.155183862725981
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2,1495.512345,"157 W 126th St #1b, New York, NY 10027, USA",40.809448,-73.946777,13.709594332372724,entry,Condo for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,1,7.3108925765069745,10027,Manhattan,True,False,False,601.4661149453767,6.4010314230286784
Brokered by Connie Profaci Realty,House for sale,16800000,8,16,33000.0,"177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235,16.636889444373487,luxury,House for sale,2.1972245773362196,2.8284271247461903,2.7764722807237177,7-10,2.833213344056216,10+,0,10.404293143019792,10304,Staten Island,False,False,False,509.09090909090907,6.234588962952602
Brokered by Pantiga Group Inc.,Co-op for sale,265000,1,1,750.0,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892,12.487485104968359,entry,Co-op for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,0,6.621405651764134,10473,The Bronx,False,False,False,353.3333333333333,5.870238089673838
Brokered by CENTURY 21 MK Realty,Co-op for sale,440000,2,1,978.0,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944,12.994530005894443,entry,Co-op for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,0.6931471805599453,1,0,6.88653164253051,11230,Brooklyn,False,True,False,449.89775051124747,6.1112405965284715
Brokered by Engel & Volkers Americas,Co-op for sale,375000,2,1,850.0,"800 Grand Concourse #2j, Bronx, NY 10451, USA",40.8248699,-73.9229829,12.834681304952548,entry,Co-op for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,0.6931471805599453,1,0,6.7464121285733745,10451,The Bronx,False,False,False,441.1764705882353,6.091709057121252
Brokered by Re/Max Edge,Townhouse for sale,689000,3,2,1162.0,"456 Van Name Ave, Staten Island, NY 10303, USA",40.6249962,-74.1553058,13.442996549995796,entry,Townhouse for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,1.0986122886681098,2,0,7.0587581525186645,10303,Staten Island,False,False,False,592.9432013769364,6.3867836942131575
Brokered by COMPASS,Co-op for sale,259000,3,1,1495.512345,"34-41 85th St #1b, Flushing, NY 11372, USA",40.7531191,-73.8818757,12.464583340681674,entry,Co-op for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,0.6931471805599453,1,1,7.3108925765069745,11372,Queens,False,False,True,173.18479574302677,5.160116780144412
Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2,1495.512345,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",40.7438639,-73.8745722,12.971540487669746,entry,Co-op for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,1,7.3108925765069745,11373,Queens,False,False,True,287.5268809633263,5.66478825652385
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1,1495.512345,"61 Jane St #6n, New York, NY 10014, USA",40.7382981,-74.0058899,13.704578997256993,entry,Co-op for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,0.6931471805599453,1,1,7.3108925765069745,10014,Manhattan,True,False,False,598.4571127027373,6.396024433464431
Brokered by Awaye Realty,Condo for sale,549000,2,2,1000.0,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632,13.215853720491667,entry,Condo for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,0,6.90875477931522,10312,Staten Island,False,False,False,549.0,6.309918278226516
Brokered by Realty Executives Today,Townhouse for sale,975000,3,2,1734.0,"28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672,13.790192749979985,entry,Townhouse for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,1.0986122886681098,2,0,7.45876269238096,11377,Queens,False,False,True,562.2837370242214,6.333783474587786
