ID,Model,Features,Params,MAE,R2,Cross_val_R2,Comment
1,LinearRegression,"['beds', 'bath', 'propertysqft']",,1446041.86,0.111,0.216,Baseline linear regression
2,LinearRegression,"['log_beds', 'log_bath', 'log_area']",,1669929.6,0.248,0.223,
3,LinearRegression,"['type_Condo for sale', 'type_House for sale', 'type_Multi-family home for sale', 'type_Other', 'type_Pending', 'type_Townhouse for sale', 'is_high_beds', 'log_beds', 'log_bath', 'area_missing', 'log_area']",,1590792.65,0.351,0.304,
4,LinearRegression,"['type_Condo for sale', 'type_House for sale', 'type_Multi-family home for sale', 'type_Other', 'type_Pending', 'type_Townhouse for sale', 'is_high_beds', 'log_beds', 'log_bath', 'area_missing', 'log_area', 'borough_Manhattan', 'borough_Brooklyn', 'borough_Queens']",,1560379.043,0.382,0.349,Only lat long missing
5,LinearRegression,"['beds', 'bath', 'propertysqft', 'type_Condo for sale', 'type_House for sale', 'type_Multi-family home for sale', 'type_Other', 'type_Pending', 'type_Townhouse for sale', 'is_high_beds', 'area_missing', 'borough_Manhattan', 'borough_Brooklyn', 'borough_Queens']",,1471016.51,0.275,0.349,
6,LinearRegression,"['latitude', 'longitude', 'type_Condo for sale', 'type_House for sale', 'type_Multi-family home for sale', 'type_Other', 'type_Pending', 'type_Townhouse for sale', 'is_high_beds', 'log_beds', 'log_bath', 'area_missing', 'log_area', 'borough_Manhattan', 'borough_Brooklyn', 'borough_Queens']",,1553327.37,0.382,0.35,On adding lat long changes insignificant
7,GradientBoostingRegressor,"['latitude', 'longitude', 'type_Condo for sale', 'type_House for sale', 'type_Multi-family home for sale', 'type_Other', 'type_Pending', 'type_Townhouse for sale', 'is_high_beds', 'log_beds', 'log_bath', 'area_missing', 'log_area', 'borough_Manhattan', 'borough_Brooklyn', 'borough_Queens']","{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8, 'min_samples_leaf': 5}",873832.23,0.468,0.58,
,Feature Engineering,"['central_part_dist', 'tsq_dist']",,,,,
8,LinearRegression,"['latitude', 'longitude', 'type_Condo for sale', 'type_House for sale', 'type_Multi-family home for sale', 'type_Other', 'type_Pending', 'type_Townhouse for sale', 'is_high_beds', 'log_beds', 'log_bath', 'area_missing', 'log_area', 'borough_Manhattan', 'borough_Brooklyn', 'borough_Queens', 'central_part_dist', 'tsq_dist']",,1549143.36,0.388,0.353,
9,GradientBoostingRegressor,"['latitude', 'longitude', 'type_Condo for sale', 'type_House for sale', 'type_Multi-family home for sale', 'type_Other', 'type_Pending', 'type_Townhouse for sale', 'is_high_beds', 'log_beds', 'log_bath', 'area_missing', 'log_area', 'borough_Manhattan', 'borough_Brooklyn', 'borough_Queens']","{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8, 'min_samples_leaf': 5}",843038.06,0.546,0.589,
10,DecisionTreeRegressor,"['latitude', 'longitude', 'type_Condo for sale', 'type_House for sale', 'type_Multi-family home for sale', 'type_Other', 'type_Pending', 'type_Townhouse for sale', 'is_high_beds', 'log_beds', 'log_bath', 'area_missing', 'log_area', 'borough_Manhattan', 'borough_Brooklyn', 'borough_Queens', 'central_part_dist', 'tsq_dist']","{'max_depth': 7, 'min_samples_leaf': 3, 'min_impurity_decrease': 500000.0, 'max_features': 0.8}",979173.0,0.404,0.423,
11,RandomForestRegressor,"['latitude', 'longitude', 'type_Condo for sale', 'type_House for sale', 'type_Multi-family home for sale', 'type_Other', 'type_Pending', 'type_Townhouse for sale', 'is_high_beds', 'log_beds', 'log_bath', 'area_missing', 'log_area', 'borough_Manhattan', 'borough_Brooklyn', 'borough_Queens', 'central_part_dist', 'tsq_dist']","{'n_estimators': 100, 'max_depth': 15, 'min_samples_leaf': 5, 'min_impurity_decrease': 100000.0}",738579.0,0.605,0.622,
